
                              中医辞释,一坨牛屎. 4598条

刦具 刦具 吉贝之讹。“吉贝”，棉花。
报刺 报刺 古刺法。十二节刺之一．报意为相应，报刺就是随着痛处所在而相应针刺的方法。即在治疗没有固定的部位的疼痛或游走不定的病证时，可直刺痛处和病位，并且不要立即出针，用左手随着痛的移力处按着，然后将针拔出，再相应地针刺新的痛处。《灵枢·官针》：“报刺者，刺痛无常处也，上下行者，直内无拔针，以左手随病所按之，乃出针复刺也”。
报点 报点 又称报标。皮疹出现前先露的点子。
报灸 报灸 灸法术语。指分次重复施灸的方法。《千金要方》；“凡阴阳濡风口㖞僻者，不过三十壮，三日一报；报如前，微者三报，重者九报”．
报息 报息 报，重复或接续；息，呼吸。指平顺，或正常的呼吸规律。《素问，藏气法时论》：“肺病者，……虚则少气，不能报息，耳聋嗌干”。不能报息，即呼吸难以连续之意。
卑蝶 卑蝶 《杂病源流犀烛》：“卑僳，心血不足病也，与怔忡病一类。其症胸中痞塞，不能饮食，如痴如醉，心中常有所歉，爱居暗室，或倚门后，见人即惊避无地。
卑监 卑监 地势低下之意。运气术语。是对土运不及年份气化不足的一种形容，见《素问五常政大论》。
北如流汤 北如流汤 形容背部汗出如流水。北通背。
备化 备化 运气术语。意为具备生化的条件．是对土运平气年份化气正常的一种形容。参见《素问·五常政大论》。
备急灸法 备急灸法 书名。宋·闻人耆年编。灸法专著，1卷。约刊于12世纪。书中介绍了22种急性病证的灸法，并附图，今存本附有佚名氏《骑竹马灸法》和《竹阁经验方》。今有影印本存世。
备急千金要方 备急千金要方 简称《千金要方》．唐·孙思邈撰于7世纪中期。千金者，人命重于千金之意。本书总结性地反映了唐代以前的医学成就。记述和评论了医学各科多方面的内容，是一部划时代的医学著作，参考价值很高。由于时代所限，也有不少迷神的糟粕。今有影印本。
奔豚 奔豚 出自《灵枢》、《难经》、《金匮》等。五积的一种，为肾积。脏躁病的一种，类似于癔病和神经官能症。妇女多患之，每因精神受刺激而诱发。症状为自觉有气从小腹部发出，经胸部厂向咽喉的游走性的冲撞和腹部绞痛等。可反复发作。有时可出现幻听、幻视、语言荒诞错谬等。
奔豚气 奔豚气 ①即奔豚。②产生奔豚证的邪气。
奔豚疝 奔豚疝 睾丸疼痛，牵引精索及下腹部疼痛的症状。
本 本 中医术语。和标相对。《李时珍传》：“剖经络之本标”。
本病 本病 古代医书名。已佚。
本草 本草 中医的药物学和药理学的统称。其所以称作“本草”，是因为中药是以植物，尤其是草类为最多。五代时的四川人韩宝升曾有解释：“药有玉、石、草、木、虫、兽，而云本草者，为诸本草类最多也。”
本草备要 本草备要 书名。清·汪昂（讱庵）撰。刊于1684年。4卷。本书由博返约地选择常用药物400种，以后增订时又啬了60种。药性病情相互阐发，既备且要。并附科400余幅。由于具备简明扼要的特点，为一般临床医家所喜爱。今有排印本问世。
本草从新 本草从新 书名。刊于1757年。清·吴仪洛（遵程）撰。18卷。作者鉴于《本草备要》杂揉诸说，无所折衷，难免有乖误之失，故在其基础上增、删、改、释编成本书。文字简约，切合实用。今有排印本问世。
本草纲目 本草纲目 书名。52卷。明·李时珍（东壁、濒湖）撰。刊于1587年。作者用了近30年时间编写而成　。共载药1892种。其中整理《证类本草》的1479种，取金元诸家所载的39种，新增374种，每种药物的下面，又分校正、释名、集解、正误、修治、气味、主治、发明、附录、附方等项，分别叙述，其中集解、气味、主治、发明，均引历代各家之说。最后自己再加补充的评论。仅创刊方一项，竞达到11096首之多。其中有些还《　附有实际治例。在书之前列有总目录一卷，图谱3了。本书极为宏伟，是对我国16世纪以前本草学的全面总结。对世界影响很大，目前已被译成多种文字流传于许多国家。
本草纲目拾遗 本草纲目拾遗 书名。清·赵学敏撰。10卷。约刊于1765年。收录《本草纲目》所未载，或载而不详的药物共921种。对珍贵罕见之物收录较丰富，对《纲目》中的某些错误也作了纠正，并发掘了民间验方和当时传入的西方药物和医学资料。今有排印本问世。
本草集要 本草集要 书名。明·王纶撰。8卷。共分三大部分。上部1卷为总论。中部5卷，取《本草》及东垣、丹溪等人的著作互相考订而成　。下部2卷，取药性所治分为气、寒、血、热、痰、湿、风、燥、疮、毒、妇科、小儿等十二门。这是药物正式按其性能分类的最早尝试，在医学史上有一定价值。
本草经集注 本草经集注 书名。梁·陶弘景（隐居）撰。约成于5世纪末。7卷。本书是从陶氏自己所撰的《名医别录》中选出药物种，附入《神农本草经》中而成　。是《神农本草经》较早的一种本。分为玉、石、草、木、果、菜、有名未用6类。
本草经疏 本草经疏 书名。明·缪希雍撰。30卷。刊于1625年。本书先《证类本草》中的490种药物加以注释发挥，并介绍药效、宜忌、处方等。引证面较广为其特点。
本草蒙荃 本草蒙荃 书名。明·陈嘉漠（廷采）著。本书是依据《本草集要》编次而成。每味药物都有气、味、产地、采制、治疗方法，末尾附有自己的见解。用韵语编写，便于记忆，益于初学，为韵语记述药性的开始。
本草品汇精要 本草品汇精要 书名。42郑。明太医院集体编撰。成于1505年。依据《证类本草》，共收药1815种。对药物的采制应用的叙述比较细致，所绘彩图相当逼真。但多系抄袭，发挥不多。1700年清太医院又补撰《本草品汇精要续集》10卷，人微言轻其补充，依据《本草纲目》等书共增补新品990种。体例与正集相同。今有排印本问世。
本草拾遗 本草拾遗 书名。唐·陈藏器撰。约成于8世纪初。10卷，包括序列1卷，拾遗6卷，解纷3卷，其叙列中，除“十剂”说以外，还就药物的功用，分为解毒、破气、疗温、理风、主脾等许多类，是按中药功能的方法分类。本书收集不见于当时本草所录的药品很多。原书早佚。佚文大部分载于《证类本草》中（共收记本书药品509种）。
本草述 本草述 书名。32卷。清＝刘若金著。刊于1700年。作者企图把金元以来所发展的理论与旧本草之说融会贯通为一个体系。以后经过杨时泰的加工简化，其旨益明，仍为今日临床所乐用。今有排印本问世。
本草衍义 本草衍义 书名。宋·寇宗奭撰，刊于1116年。20卷。本书在《嘉佑本草》和《本草图经》的基础上，参考各家学说和实验经验，对药物进行考证和阐发，提出了不少药物真伪优劣的鉴别和实际应用的见解。共载药品472种。虽未增新药，但因其对药物的“翻性味”而“立气味”和上述的并排见解。确在很大程度上更新了本草学的面貌。
本而标之 本而标之 病由本传标。
本节 本节 指手部的掌面指关节和足部的跖趾关节。
本经逢源 本经逢源 书名。4卷。清＝张璐（石顽）撰。刊于1695年。本书收药700余种，分为32类，每种药均记其性味、产地、炮制、发明、附方等项，其中有不少个人见解和经验心得。今有排印本问世。
本经疏证 本经疏证 书名。12卷。附《本经续疏》6卷、《本经序疏要》8卷。清＝邹澍撰。刊于1832年。本书是通过分析古医方（张仲景方为主）配伍理论注释《神农本草经》。其中《疏证》释药173种，《续疏》释药142种，《疏药》系对《神农本草经·序列》的注释。对于各种药物的功效，结合临床辩证予以阐述。今有排印本问世。
本神 本神 ①《灵枢》篇名。②经穴名。属足少阳胆经。
本脏病自痉 本脏病自痉 病名。肝血亏虚而致的痉病。多见于小儿。主要表现为：神倦瘛疭，脉气虚弱，舌绛无苔，时时欲脱等症状。
闭 闭 即闭塞不通．主要指大、小便闭而不下或闭证．
闭藏 闭藏 指冬三月。也有植物凋谢、蛇虫冬眠、人人房屋以避寒冷之意．
闭息 闭息 出《素问·遗篇刺法论》：“闭气不息七遍“…，”。后世气功家称为“闭息”。指闭合喉孔，使气息出入暂时停止。即现代气功家说的“停闭呼吸法”。
闭证 闭证 属中风，中脏中的重危证候。主要表现为突然昏仆，不省人事，牙关紧闭，口噤不开，两手紧握，大小便不通，肢体强直等。根据热象的有无，有阳闭、阴闭之分．
闭癃 闭癃 出《灵枢本输》。即癃闭。
必数更衣反小者 必数更衣反小者 大便次数多而量少。
必婴暴疹 必婴暴疹 必得急病之意。“婴”羁绊之意。“疹”，作疾病解。
变 变 五不男的一种，又称人疴，即生殖器官的两性畸形。
变化 变化 万物的生长由于“化”，万物的变化由于“变”。变化是由运动产生的。参见《素问·六微旨大论》．
变化之父母 变化之父母 变化的起始或根本原因。实指阴阳变化规律。
变燕 变燕 古人认为小儿体格的增长、机能的发育和智慧的增进，有一个按期规律性变化的过程。在一定的时间内，其体格、脏腑、智能等都会达到一定的程度。一般认为，三十二天为一变；六十四天为一蒸。这些发育的阶段性，合称为变蒸。婴儿出生后，要经过十变五小蒸，计三百二十天；又三大蒸，合计五百七十六日，方才变蒸完毕而成人。在这些变蒸的交替时期，临床上会出现一些轻微的症状，如发热、微惊、耳冷、臀部冷、微出汗、不思饮食、呕吐等。数天后即自然消失．后世医家对此很有不同的看法。认为所谓“变蒸”，是一种幼儿易于患病的表现，不应看成必然过程，以免贻误治疗。
变证 变证 疾病由简单变为复杂，由轻到重的证候变化。即疾病的恶吧．
表 表 ①外表，与“里”相对，有表浅或轻微之意。②表证，中医八纲辨证之一，
表寒 表寒 表证类型之一。由感受风寒所致。表现为发热轻、恶寒重、无汗身痛、头痛、舌苔薄白、脉浮紧等。
表寒里热 表寒里热 即内有里热，外感寒邪出现的症候群。表现为既有发热、恶寒、身痛、无汗的表实证候，又有口渴喜冷饮、烦躁多言、尿黄便干等里热证候。
表解里未和 表解里未和 语出《伤寒论》。即表证消失，里证未解。表现为出汗、头痛、上腹闷胀撑痛，常干呕和气短，一般无明显怕冷，发作多有定时。
表里 表里 表是表面的意思，—表示疾病在人体的浅表部位。里，表示疾病深入体内。表里是辨别疾病部位和病势深浅的两个八纲辨证中的纲领。一般说来，病邪侵犯肌表经络，病位较浅，属表；病在营血脏腑，病位较深，属里。实际上，表里是疾病辨证过程中的证候分类。
表里传 表里传 指太阳表证直接向少阴里证传变。太阳与少阴相表里。如外感热病，见发热头痛而脉反沉者，为表里传之象。此外，阳明与太阴相表里，少阳与厥阴相表里，它们之间的互相传变，也称表里传。
表里俱寒 表里俱寒 即内外俱寒的综合病证。多为内有脾胃虚寒的病人又外感风寒。表现为既有发热轻、恶寒重、身痛无汗等表寒证；又有腹痛、腹泻、四肢厥冷等里寒证。
表里俱热 表里俱热 即内外俱热的综合病证。本有内热而又感热邪。表现既有发热重、恶寒轻的表热证，又有口渴、喜冷饮、烦躁、谵语等里热证候。
表里配穴法 表里配穴法 在表里相合的经脉上选穴位用以治疗本脏本腑有关疾病的方法。类原络配穴法。如胃病取足三里(胃)与公孙(脾)；咳嗽取大渊(肺)与合谷(大肠)；肝病取太冲(肝)与阳陵泉(胆)等。
表里双解 表里双解 同时治疗丧证、里证的方法。可分两大类：①治外有表邪，里有实积，症见恶寒发热、腹部胀痛、胸部痞闷、恶心便秘、脉浮滑，可用厚朴七物汤。②治里热已盛，兼有表证，症显高热无汗；面红目赤、身体拘急、鼻干口渴、口苦烦躁、谵语、脉洪数等，可用三黄石膏汤。
表里同病 表里同病 ①指表里同时受病。②指表里同时出现同类性质的症状。如“表里俱寒”、“表里俱热”等。
表气不固 表气不固 即卫气不固。指气不能保卫体表肌肤，易受外感诸邪的侵袭而患病。发病时多有怕风、自汗等症。卫气属阳，《素问·生气通天论》曰：“阳者，卫外而为固也。”
表热 表热 表证类型之一，由感受风热所致。表现为发热重，恶寒轻，有汗或无汗，口微渴，舌苔白或微黄，舌尖红，脉浮数等。
表热里寒 表热里寒 即脾胃平素虚寒而外感风热出现的证候群，也可因平素脾胃虚寒，或表邪未解而过服寒冷食物，或寒凉药物而出现。临床上表现为既有发热、头痛、恶风等表热证，又有肢冷、便溏、不渴、隐隐腹痛等里寒证。
表实 表实 表证类型之一，以无汗为特点。由风寒之邪袭表，卫气闭阻而成。表现为无汗、头痛、恶寒、身痛、脉浮紧等症。
表实里虚 表实里虚 指表里错杂的证候。机体虚弱，外感寒邪，表现为既有发热、恶寒、无汗等表实证，又有精神萎靡、食欲不振、脉沉细等里虚证。
表邪 表邪 指外感病起病之初，病的位置在表的病邪。
表邪内陷 表邪内陷 指表证的进一步发展。见于平素体质虚弱的患者，一旦外感病邪，迅速传里，短期内病势凶猛，达到高峰而出现神昏谵妄症状。
表虚 表虚 表证类型之一。以自汗为特点。由机体卫气素虚，腠理不固，风邪袭表而形成。表现为自汗、恶风、苔薄白、脉浮缓等。
表证 表证 指六淫病邪初犯人体肌表而产生的一组综合症状。临床表现以发热、恶风寒、舌苔薄白、脉浮为特点。多伴有头痛、全身酸痛、鼻塞、流涕、咳嗽等。
表证入里 表证入里 指表证化热，病势向里发展。表现为不恶寒，反而恶热，烦渴，小便黄亦，舌苔黄燥等。
