
                              中医辞释,一坨牛屎. 4598条

刦具 刦具 吉贝之讹。“吉贝”，棉花。
方有执 方有执 字仲行，明代安徽歙县人。是在《伤寒论》研究中首介“错简说”起来讨伐王叔和的人。著有《伤寒论条辨》5卷，按照自己的意见重新编辑《伤寒论》。为清初名医喻嘉言所推崇。另外，著有《本草钞》、《或问》、《痉书》各1卷。
方月 方月 以月份定方位之意。
肪膏 肪膏 动物脂肪。
房劳 房劳 又称房室劳、房室伤。指性生活过度，致使肾精虚损而为病。
房事 房事 性交的雅称．
房中术 房中术 讲究性交的淫术。
放松功 放松功 气功功法之一。上海市气功疗养所提倡的功法。特点是：呼气时默念“松”字，使全身顺次放松。
放血疗法 放血疗法 即刺血疗法。
放痧法 放痧法 又名刺痧法。用于治疗痧毒深入血肉之中的方法。即用消毒三棱针于肘弯曲池穴、腿弯委中穴，直刺或斜刺，放出紫黑色血，以泄出痧毒。其它部位也可放痧，如百会，太阳、印堂等，视病情而定．
非风 非风 即“中风”．
飞痘 飞痘 小儿种后，在非种痘部位先于牛痘而发的丘疹和水泡。
飞法 飞法 ①针刺术语。一为入针后，以拇食两指连捻针柄数下，突然松开，状如飞鸟展翅，故名。有促使得气的作用。二为将针向前推进。如《金针赋》之谓：“补者一退三飞，真气自归；泻者一飞三退，邪气自避。”②指中药炮制的水飞法。
飞门 飞门 即口唇。出《难经·四十四难》。飞，与扉通，扉即扇，形容口唇张合如门扇，饮食由此而入，故称。
飞腾八法 飞腾八法 即灵龟八法。
飞扬 飞扬 ①上腭血肿。②穴位名。位于小腿后外侧。沼昆仑穴直上七寸处。
飞疡 飞疡 咽喉突然肿痛，且连及耳窍的一种急性证候。
飞针 飞针 砭鐮法。
肥疮 肥疮 又称堆沙痢痢．出自《千金要方》．因头部结成肥痂，故名。是真菌感染的头部皮肤病。初起，毛发根部出一小丘，破后流黄水，渐次蔓延，结黄痂。瘙痒重，有鼠臭味。愈后留有瘢痕，呈永久性脱发。类于黄癣。
肥胖不孕 肥胖不孕 指某些肥胖体质的人，不易受孕。今知为一种垂体性疾病，即肥胖性生殖无能。
肥气 肥气 古病名。见《灵枢·邪气藏府病形》、《难经·五—十六难》。为五积中的肝积，为左胁下经久不消的覆杯状痞块，重者影响呼吸。类似脾脏肿大或左季肋部的其它肿块。
肥珠子风 肥珠子风 即耳垂部发生的炎症。即一或两侧耳垂硬结如核，微有疼痒。
肥疳 肥疳 即脾疳。
肺 肺 五脏之一。主要功能为：①司呼吸，为人体内外气体交换的器官。肺能呼出浊气(二氧化碳)吸人清气(氧)，与食物中吸收进来的营养成分合成宗气，通过血液循环，供应全身需要。②通过宣散和肃降调节水液代谢，使散布全身的水液，达于皮肤和下输肾脏，由汗孔和膀胱排出体外。③肺和心的关系特别密切，全身各脉管的血液都要通过肺的清浊交换，才能变成有用之血。所以有“肺朝百脉”之说。④与皮肤的关系。皮肤受病邪侵袭后，可以引起咳嗽、吐痰、气喘等肺的症状．即所谓：肺合皮毛”。
肺痹 肺痹 出自《素问·玉机真藏论·痹论》等。即咳喘气逆，甚至出现呕恶的症状．系由于肺被浊邪阻闭，失去肃降而痹塞不通所致。
肺闭喘咳 肺闭喘咳 多属肺炎范畴。主要表现为发热、咳嗽、多痰、胸闷、胸痛、呼吸困难等呼吸道症状．
肺病 肺病 五脏病候之一。泛指肺部发生的病证．
肺藏魄 肺藏魄 出自《素问·宣明五气篇》。魄，指人的精神活动。古人将一部分精神活动分属于肺，认为肺有病的人，常表现为语言无力，做事缺乏魄力。
肺朝百脉 肺朝百脉 朝，有朝向、会合之意。指百脉中的血液都要流经肺脏，以完成其吸清呼浊的循环过程。
肺恶寒 肺恶寒 出自《素问·宣明五气篇》，即肺受寒易致病之意。肺司呼吸，外合皮毛，寒冷易于直接犯肺，或由皮毛犯肺，引起咳嗽、咳痰、气喘等肺部症状。
肺风 肺风 出自《素问风论》。①秋季中风邪得病，称“肺风”。肺风的症状：多汗怕风，面色淡白，时或咳嗽气短，白天轻晚上重，望诊眉上呈苍白的颜色．
肺风粉刺 肺风粉刺 即酒皶鼻。
肺风痰喘 肺风痰喘 多指肺炎。临床以发热、咳嗽、多痰、呼吸困难为主要表现。
肺合大肠 肺合大肠 肺为脏，属阴；大肠为腑，属阳，其经脉互相络属，互为表里。在生理、病理上，二者也是互相影响的。肺气肃降，大肠传导正常。肺失肃降，大肠传导不利。大肠实热引起喘满。肺气壅滞，引起大便秘结。治疗上，通便之法有利于清肺、平喘；润肺之药可以解除便秘。
肺合皮毛 肺合皮毛 皮毛包括皮肤、汗腺、汗毛等结构，有分泌汗液、调节体温及抵御外邪侵袭的功能。皮毛的这些功能与肺的关系十分密切．即皮毛的防御功能是由肺宣散的卫气流布在皮肤上来体现的。卫外之气不足，皮毛就易受风寒侵袭而内合于肺，产生咳嗽、咳痰、呼吸喘促等肺的症状。古人认为，皮肤上的汗孔也有调节呼吸的作用，称之谓“气门”。
肺花疮 肺花疮 即喉癣。
肺火 肺火 为肺热之甚者。有虚火、实火两种。实火咳剧痰少，咳声有力，痰多黄稠，痰中带血，舌红、苔黄，脉数。虚火为平素肾肺之阴损耗而致虚火内生，咳声无力，久咳不愈，潮热盗汗，脉细数，舌红、苔白而干。
肺积 肺积 古病名。见《脉经·卷八》。即息贲。原出《难经》：“肺之积名曰息贲，在右胁下，覆大如杯，久不已，令人洒淅寒热，喘咳发肺壅”。晋·王叔和又补充了如下内容：脉浮，胁下气逆，背部引痛，少气，善忘，目瞑，皮肤时痛，甚者其痛如针刺等。
肺津不布 肺津不布 指肺脏不能正常输布津液，出现咳嗽喘促等症。多与肺气虚和失宣、壅热等有关。
肺经 肺经 ①手太阴肺经之简称。②推拿部位名称。又名肺、肺金。位于无名指末端指骨腹面。有止咳化痰的功能。
肺经咳嗽 肺经咳嗽 即肺咳。
肺开窍子鼻 肺开窍子鼻 同肺主鼻。肺司呼吸，鼻为呼吸时气体出入的门户，故称肺开窍于鼻。肺的病变也会影响鼻腔。如风寒袭肺，会出现鼻塞流涕。病邪郁于肺，积久化热，肺热炽盛；痰火内阻，就会出现呼吸困难，鼻翼煽动等重症。
肺咳 肺咳 咳嗽而喘者。严重时可有咯血。
肺劳 肺劳 ①五劳之一。指由于种种原因耗伤肺气引起的呼吸系统症状。如咳嗽、闷气、胸满、喘促等。②即肺痨，肺结核。
肺络损伤 肺络损伤 指剧烈咳嗽或身体过劳而引起的咳血。
肺疟 肺疟 出自《素问，刺疟篇》。为肺受邪而发生的疟疾。主要是心内发凉，寒冷之后即发热，并有惊恐等病证。
肺其华在毛　 肺其华在毛　 指肺功能的盛衰，可以从毛发的色泽上反映出来。
肺气 肺气 ①指肺的呼吸功能。②指呼吸之气。⑧指胸中的宗气。
肺气不利 肺气不利 一种既有水肿，又有呼吸道症状的证候群。肺有通调水道的作用，是水液代谢的重要器官。若肺气不利，肃降无能，就会出现水道不通，小便不利，发生浮肿，而且会有咳嗽、气喘、多痰等上呼吸道症状。
肺气不宣 肺气不宣 宣，有通和布散的意思。肺气不宣即吸入之气不能有效地散布到各脏腑组织，以应需要；和机体代谢过程产生的废气(二氧化碳)不能顺利地排出体外所致的一种病理过程。多见于各种呼吸系统的急慢性炎症。
肺气上逆 肺气上逆 与肺失清肃相同，但喘咳气逆更重，为肺失清肃的进一步发展。
肺气虚 肺气虚 一组肺功能低下证侯。又称肺气不足。劳伤过度，病后体弱，久咳伤气，均可导致肺气不足。主要表现为咳嗽气短，甚者喘促呼吸困难，痰液清稀，疲倦懒言，声音低弱，形寒怕冷，面色眈白，自汗等。
肺热 肺热 热邪犯肺所出现的热证。主要表现为面红、发热、咳嗽、气短、咳痰粘稠、咯血、胸痛、口渴、脉浮数等。
肺热叶焦 肺热叶焦 出《素问·痿论》。指因肺热累及其所主之皮毛津液而言。因肺合皮毛，被邪热所袭，津液受灼而干燥，不能外泽皮毛，皮毛因而虚弱枯槁，故称“肺热叶焦”，如燥热留而不去，则皮肉筋骨皆失去滋养，因而发生不能行走的痿证。至于五脏的痿证，皆与肺热叶焦有关，是因为肺被热灼，日渐枯燥，内不能洒陈于五脏六腑，外不能输精于皮毛，使五脏皆热而出现痿证．
肺肾两虚 肺肾两虚 指肺肾两脏俱虚所产生的综合证候。可分为气虚与阻虚两种。①肺肾气虚：肺为气之主，肾为气之根，肺肾二脏皆与呼吸系统有关系。主要表现为喘促气短，自汗易汗，形寒肢冷，咳嗽痰多等。②肺肾阴虚：或因久病耗伤肺阴进而耗伤肾阴；或因肾阴亏损，虚火上炎．灼伤肺阴，最终导致肺肾之阴亏损。主要表现为咳嗽痰少，动则气促，痰中带血，腰膝酸软，消瘦，潮热，盗汗，遗精等。
肺肾同治 肺肾同治 又名金水相生。同时治疗肺阴虚和肾阴虚的方法。
肺肾相生 肺肾相生 按五行学说，肺属金，肾属水，二者有相生关系。在生理功能上，肺肾相互配合协调，才能完成生理功能。如在水液调节上，上赖肺的通调，下依肾的开闽。在呼吸功能上，肺司呼吸，肾主纳气。在治疗上，肺的慢性疾病，如哮喘等，用补肾纳气之法治疗，常有效。
肺失清肃 肺失清肃 即肺失肃降。
肺失肃降 肺失肃降 即肺气失去清肃下降之意。肺的清肃下降功能有二。①肺气清肃能使水液下归于肾。肃降无能，水道不通调，就出现小便不利，甚至水肿，故有“肺为水之上源”的说法。②肺气清肃下降功能能使吸入之气下纳入肾。若肺失肃降，则气不下行，积于胸中，产生咳嗽、闷气、哮喘、气逆等症．肺失肃降除呼吸系统的症状外，多伴有浮肿。
肺实 肺实 以喘满多痰为主要表现的肺部疾病。主要表现为胸胁胀痛，呼吸迫促，喘息粗壮，痰涎壅盛，咳痰黄稠或带血，久而失音等。
肺手太阴之脉 肺手太阴之脉 即手太阴肺经．
肺水 肺水 五脏水肿的一种。因肺失去气化功能而引起的水肿。表现为全身浮肿，小便困难，大便稀溏。
肺为华盖 肺为华盖 盖，即伞。指肺在体腔脏腑中居位最高和有保护诸脏抵御外邪之意。
肺为娇脏 肺为娇脏 娇脏，即娇嫩之脏．形容肺易受风寒等外邪的侵袭。
肺系 肺系 出自《灵枢经脉》。①指喉头气管。②指气管、喉头等与肺相连系的器官。⑧指肺的附属器官。如鼻道、喉、气管、支气管等构成呼吸道的结构。
肺消 肺消 出自《素问·气厥论》。消渴证的一种．与上消的概念同。表现为口渴之大量饮水、小便量多津液耗伤严重，常处于脱水状态等。
肺邪胁痛 肺邪胁痛 病证名。出自《症因脉治》卷一。指肺受邪引起的胁痛，多因寒邪袭肺，水饮内停，或邪热灼肺，肺络受伤所致。主要表现为恶寒发热、咳嗽，气喘、多痰、胁肋刺痛，或咳嗽引动胁痛等症。
肺虚　 肺虚　 即肺气虚，一般多指呼吸功能不足。主要表现为少气，呼吸浅表而难以接续等。多见于各种慢性肺部疾患。
肺虚喘急 肺虚喘急 属阴虚者，多为肺肾阴虚；属阳虚者，多为脾肺两虚或脾肾阳虚。主要表现为气喘，少气不能报息，并有相应的阴虚或阳虚的表现。
肺虚咳嗽 肺虚咳嗽 肺阴不足所致的一种咳嗽。主要表现为咳嗽少痰，或痰中带血，形体消瘦，心烦失眠，午后潮热，面红颧亦等。
